"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Réunion","2004","Female","15-24 year olds","Percent","99.34436"
"Réunion","2004","Male","15-24 year olds","Percent","97.98151"
"Réunion","2004","All genders","15-24 year olds","Percent","98.66419"
"Samoa","2004","Male","15-24 year olds","Percent","99.33326"
"Samoa","2004","All genders","15-24 year olds","Percent","99.38381"
"Samoa","2004","Female","15-24 year olds","Percent","99.44086"
"Saudi Arabia","2004","Male","15-24 year olds","Percent","96.95305"
"Saudi Arabia","2004","Female","15-24 year olds","Percent","94.67571"
"Saudi Arabia","2004","All genders","15-24 year olds","Percent","95.84969"
"Senegal","2009","Female","15-24 year olds","Percent","56.19144"
"Senegal","2009","All genders","15-24 year olds","Percent","65.01491"
"Senegal","2009","Male","15-24 year olds","Percent","74.20335"
"Sierra Leone","2014","All genders","15-24 year olds","Percent","65.72057"
"Sierra Leone","2014","Female","15-24 year olds","Percent","57.19993"
"Sierra Leone","2014","Male","15-24 year olds","Percent","74.46222"
"Sierra Leone","2004","Male","15-24 year olds","Percent","59.61425"
"Sierra Leone","2004","All genders","15-24 year olds","Percent","47.92761"
"Sierra Leone","2004","Female","15-24 year olds","Percent","37.35752"
"Singapore","2014","All genders","15-24 year olds","Percent","99.90047"
"Singapore","2014","Male","15-24 year olds","Percent","99.89716"
"Singapore","2014","Female","15-24 year olds","Percent","99.90389"
"Slovenia","2014","Female","15-24 year olds","Percent","99.90964"
"Slovenia","2014","Male","15-24 year olds","Percent","99.81183"
"Slovenia","2014","All genders","15-24 year olds","Percent","99.85942"
"Slovenia","2004","All genders","15-24 year olds","Percent","99.82676"
"Slovenia","2004","Male","15-24 year olds","Percent","99.78856"
"Slovenia","2004","Female","15-24 year olds","Percent","99.86676"
"South Africa","2014","Female","15-24 year olds","Percent","99.08437"
"South Africa","2014","All genders","15-24 year olds","Percent","98.88228"
"South Africa","2014","Male","15-24 year olds","Percent","98.68172"
"South Africa","2009","Female","15-24 year olds","Percent","98.8174"
"South Africa","2009","Male","15-24 year olds","Percent","97.9152"
"South Africa","2009","All genders","15-24 year olds","Percent","98.36509"
"Spain","2014","All genders","15-24 year olds","Percent","99.72029"
"Spain","2014","Male","15-24 year olds","Percent","99.75246"
"Spain","2014","Female","15-24 year olds","Percent","99.68681"
"Spain","2009","Female","15-24 year olds","Percent","99.55732"
"Spain","2009","Male","15-24 year olds","Percent","99.63875"
"Spain","2009","All genders","15-24 year olds","Percent","99.599"
"Spain","2004","All genders","15-24 year olds","Percent","99.5582"
"Spain","2004","Male","15-24 year olds","Percent","99.58037"
"Spain","2004","Female","15-24 year olds","Percent","99.53496"
"Suriname","2004","Male","15-24 year olds","Percent","95.61588"
"Suriname","2004","Female","15-24 year olds","Percent","94.13904"
"Suriname","2004","All genders","15-24 year olds","Percent","94.88114"
"Syrian Arab Republic","2014","Female","15-24 year olds","Percent","95.26723"
"Syrian Arab Republic","2014","All genders","15-24 year olds","Percent","96.14958"
"Syrian Arab Republic","2014","Male","15-24 year olds","Percent","96.9605"
"Syrian Arab Republic","2004","Male","15-24 year olds","Percent","94.60731"
"Syrian Arab Republic","2004","All genders","15-24 year olds","Percent","92.45381"
"Syrian Arab Republic","2004","Female","15-24 year olds","Percent","90.21858"
"Tajikistan","2014","Male","15-24 year olds","Percent","99.86035"
"Tajikistan","2014","All genders","15-24 year olds","Percent","99.87346"
"Tajikistan","2014","Female","15-24 year olds","Percent","99.88701"
"The former Yugoslav Republic of Macedonia","2014","All genders","15-24 year olds","Percent","98.62536"
"The former Yugoslav Republic of Macedonia","2014","Male","15-24 year olds","Percent","98.75781"
"The former Yugoslav Republic of Macedonia","2014","Female","15-24 year olds","Percent","98.48639"
"Togo","2009","Male","15-24 year olds","Percent","87.628"
"Togo","2009","All genders","15-24 year olds","Percent","81.73599"
"Togo","2009","Female","15-24 year olds","Percent","74.55535"
"Trinidad and Tobago","2014","All genders","15-24 year olds","Percent","99.59975"
"Trinidad and Tobago","2014","Female","15-24 year olds","Percent","99.60849"
"Trinidad and Tobago","2014","Male","15-24 year olds","Percent","99.59119"
"Trinidad and Tobago","2004","Male","15-24 year olds","Percent","99.48472"
"Trinidad and Tobago","2004","Female","15-24 year olds","Percent","99.49773"
"Trinidad and Tobago","2004","All genders","15-24 year olds","Percent","99.49116"
"Tunisia","2004","Female","15-24 year olds","Percent","92.2407"
"Tunisia","2004","Male","15-24 year olds","Percent","96.39501"
"Tunisia","2004","All genders","15-24 year olds","Percent","94.33898"
"Turkey","2014","Male","15-24 year olds","Percent","99.74698"
"Turkey","2014","All genders","15-24 year olds","Percent","99.35848"
"Turkey","2014","Female","15-24 year olds","Percent","98.95092"
"Turkey","2009","Female","15-24 year olds","Percent","96.57019"
"Turkey","2009","Male","15-24 year olds","Percent","99.01896"
"Turkey","2009","All genders","15-24 year olds","Percent","97.80747"
"Turkey","2004","All genders","15-24 year olds","Percent","95.6035"
"Turkey","2004","Male","15-24 year olds","Percent","98.02444"
"Turkey","2004","Female","15-24 year olds","Percent","93.29502"
"Turkmenistan","2014","Male","15-24 year olds","Percent","99.76674"
"Turkmenistan","2014","All genders","15-24 year olds","Percent","99.83508"
"Turkmenistan","2014","Female","15-24 year olds","Percent","99.90465"
"Ukraine","2014","Male","15-24 year olds","Percent","99.72447"
"Ukraine","2014","All genders","15-24 year olds","Percent","99.76558"
"Ukraine","2014","Female","15-24 year olds","Percent","99.80873"
"Uruguay","2014","Female","15-24 year olds","Percent","99.39062"
"Uruguay","2014","Male","15-24 year olds","Percent","98.30905"
"Uruguay","2014","All genders","15-24 year olds","Percent","98.83889"
"Uruguay","2009","Female","15-24 year olds","Percent","99.6124"
"Uruguay","2009","All genders","15-24 year olds","Percent","99.04943"
"Uruguay","2009","Male","15-24 year olds","Percent","98.14126"
"Uzbekistan","2014","Male","15-24 year olds","Percent","100"
"Uzbekistan","2014","Female","15-24 year olds","Percent","100"
"Uzbekistan","2014","All genders","15-24 year olds","Percent","100"
"Vanuatu","2014","All genders","15-24 year olds","Percent","95.46136"
"Vanuatu","2014","Female","15-24 year olds","Percent","95.6767"
"Vanuatu","2014","Male","15-24 year olds","Percent","95.24416"
"Vanuatu","2004","Male","15-24 year olds","Percent","92.10684"
"Vanuatu","2004","Female","15-24 year olds","Percent","91.86407"
"Vanuatu","2004","All genders","15-24 year olds","Percent","91.98842"
"Venezuela (Bolivarian Republic of)","2009","Female","15-24 year olds","Percent","98.80499"
"Venezuela (Bolivarian Republic of)","2009","Male","15-24 year olds","Percent","98.26986"
"Venezuela (Bolivarian Republic of)","2009","All genders","15-24 year olds","Percent","98.5333"
"Viet Nam","2009","Female","15-24 year olds","Percent","96.78113"
"Viet Nam","2009","All genders","15-24 year olds","Percent","97.09167"
"Viet Nam","2009","Male","15-24 year olds","Percent","97.39524"
"Yemen","2014","All genders","15-24 year olds","Percent","89.35223"
"Yemen","2014","Male","15-24 year olds","Percent","97.29005"
"Yemen","2014","Female","15-24 year olds","Percent","81.12571"
"Yemen","2004","Male","15-24 year olds","Percent","92.82067"
"Yemen","2004","Female","15-24 year olds","Percent","60.44997"
"Yemen","2004","All genders","15-24 year olds","Percent","76.89944"

